Ext.ID,merged_count,unmapped_count,mapped_count,host_count,human_count,phix_count,submitted_F_avlength,submitted_R_avlength,merged_avlength,unmapped_avlength,mapped_avlength,perc_unique,p_OralH,p_OralMM,p_OralTM,p_Rumen,p_Sediment.Soil,p_Skin,p_Unknown,submitted_count
MS_004,8180706,7930848,249858,209744,40114,0,61.3400667433577,57.3603695824882,50.2831118732295,50.4626307300304,44.5849202346933,94.3386712711197,16.5494,0.57,22.9163,1.9446,9.911,14.8239,33.2849,8215649
MS_005,13259836,11129557,2130279,2064038,66241,0,70.9567642975616,68.5502095952451,63.2705289869347,61.5624417935054,72.1943613958547,90.7458350365028,22.5381,0.3157,16.6687,1.8662,13.3727,4.7026,40.536,13317096
MS_009,5025015,4588232,436783,371550,65233,0,56.5937753547452,54.1585985104606,46.6597321600035,47.5663887527919,43.1837869147838,91.4208210009752,24.3894,0.753,17.1443,0.9199,14.7061,12.8908,29.1965,5029877
MS_010,3038651,2909316,129335,91318,38017,0,53.1110749361347,48.3475754215371,40.2023401173745,40.6101540705788,30.8126183940929,95.3587468107764,18.5501,0.7249,36.5854,1.3753,10.0136,19.3699,13.3808,3040776
MS_011,7313784,6918999,394785,375583,19202,0,69.6283517860304,66.0451757432147,60.3024236154636,60.5046439521093,57.2187139835607,96.0346041308901,31.5416,1.6075,22.9553,1.151,6.172,3.9378,32.6348,7343100
MS_018,13527348,13382861,144487,127197,17290,0,71.0077563768063,68.4778409850482,61.8104678019668,61.9433266175297,49.7100292759902,94.4182405474818,37.3175,1.0505,37.5774,1.1728,3.2876,2.188,17.4061,13546789
MS_020,14622668,13393917,1228751,1197592,31159,0,74.0745680688773,71.4477602256288,66.1825703079629,66.0562194016881,67.559849798698,93.9680256243089,24.3675,1.1202,43.1903,0.9194,4.0088,8.0723,18.3216,14672594
MS_022,13723300,12839983,883317,864471,18845,1,71.8626418529313,69.5647362037929,63.3493771906174,62.8485442698795,70.6295339045892,93.3701998698345,39.0265,1.205,35.5286,0.935,3.2123,1.9731,18.1195,13747601
MS_029,11714409,11111961,602448,299045,303402,1,60.5759475430702,46.7713224582105,39.3737693467933,40.3059124307582,22.1806877938013,95.85372026027,24.7837,0.1789,20.6873,2.3458,9.8877,2.5042,39.6124,11728174
MS_032,476154,467598,8556,6292,2264,0,63.7646651691615,58.3128443580338,51.2801068561852,51.5141980932339,38.4866760168303,96.0238977317519,26.0746,0,17.572,0.7085,1.3226,0.1889,54.1332,476793
MS_038,1122876,1100326,22550,8575,13975,0,65.5586377434792,54.9895281487133,47.4484012482233,47.790628413761,30.2874944567628,91.9390655616277,4.8332,0,20.2178,0,0.0851,7.8285,67.0354,1124634
MS_039,3156307,3114661,41646,22448,19198,0,72.9810023068153,68.4827789215544,62.1059998282803,62.4100818676575,39.2129136051482,88.2590633191983,18.1686,0.3474,3.6543,2.8608,6.5795,2.1403,66.2492,3161068
MS_051,1632,1587,45,37,8,0,63.6890243902439,57.3506097560976,50.4338235294118,50.4587271581601,49.5333333333333,93.9939024390244,0,0,0,0,0,33.3333,66.6667,1640
MS_053,3529,3297,232,148,84,0,62.6063169768754,46.5558375634518,38.6531595352791,39.3730664240218,28.4137931034483,95.7839819514946,0,0,0,0,0,0,100,3546
MS_057,1638546,1542710,95836,73996,21839,1,52.0380859083661,46.5175835676855,38.8104868584709,39.2194683381841,32.2269502066029,94.6411567152712,46.7706,0.2056,13.0375,1.165,5.0197,4.1974,29.6042,1642471
MS_058,158,136,22,21,1,0,74.2455089820359,72.0898203592814,68.4113924050633,70.2573529411765,56.9545454545455,93.4131736526946,NA,NA,NA,NA,NA,NA,NA,167
MS_060,1281618,1263840,17778,7299,10479,0,59.9663986702476,50.7519901109789,43.1814081887115,43.4103035194328,26.2935088311396,92.1624644656842,26.3158,0.9143,11.7,0.3706,0,10.897,49.8023,1283848
MS_062,4096382,4062236,34146,17020,17125,1,66.8152986682101,63.2601256971343,56.8401687147341,57.6101068475588,26.3969718268611,92.3882802905519,14.8899,0.219,3.5285,3.003,9.6346,2.0958,66.6291,4108606
MS_063,4368486,4348360,20126,10532,9594,0,62.6531528913763,62.1076291058146,55.3570646672554,55.4816712507704,28.4349597535526,95.8918031027166,14.3674,0.4957,49.2302,1.0661,2.7089,5.0079,27.1238,4387893
MS_091,3173296,3079434,93862,71745,22117,0,60.0868331861451,56.7499027927983,49.5643983416612,49.9067533189541,38.3323815814707,91.2416932363631,18.5071,0.5765,38.1783,1.1418,2.1311,10.1908,29.2744,3176205
MS_092,1712927,1627516,85411,60438,24972,1,52.7098688175845,47.4950191758666,39.2470327106759,40.2627009504054,31.3025488520214,94.6467775080814,31.6083,0.5707,11.9326,1.31,11.9326,5.3307,37.3152,1713873
MS_095,1063910,465223,598687,589559,9128,0,57.4088585950946,56.0223668903761,49.1249344399432,44.6759532525262,52.5821138591618,80.8641936964221,51.2899,0.0339,3.021,0,1.9348,5.8384,37.8819,1068499
MS_096,7001248,6440492,560756,495628,65127,1,62.2074379166282,59.6207720681672,52.9991675769806,53.5797496526663,46.33096569631,94.0384792358633,26.3799,0.2474,11.3991,0.9538,18.1666,13.3727,29.4805,7023499
MS_099,1298126,1095947,202179,162944,39235,0,46.4162436743598,43.9297378602363,35.8331625743572,36.021517463892,34.9926847001914,94.406061128957,44.3913,0.287,6.7926,0.1674,0.7654,4.5683,43.028,1299078
MS_101,795913,734446,61467,33715,27752,0,71.3871449177276,71.1497228397324,64.6550012375724,66.3645632218026,44.6573445914068,85.6373425547727,20.0647,5.9061,8.7379,0.0809,0.4045,33.9806,30.8252,799357
MS_102,9130730,8936433,194297,153525,40772,0,68.7770209404892,68.3216409108579,62.6004345764249,63.0276865501034,43.0133558418298,95.8284563853269,11.8501,0.4844,13.2217,1.0795,19.4893,7.0891,46.7859,9201743
MS_103,63645,61415,2230,1701,529,0,59.8706214246532,52.3479351148029,45.3276298216671,45.6628999430107,36.0932735426009,97.2188699945145,0,0,0,0,0,0,100,63805
MS_104,2921,2866,55,40,15,0,68.9891193471608,64.6232573954437,59.1174255391989,59.4476622470342,41.9090909090909,96.7528051683101,NA,NA,NA,NA,NA,NA,NA,2941
MS_105,128155,116646,11509,8415,3094,0,55.6862557098982,46.0064777138581,38.4092544184776,39.1623801930628,30.7760882787384,92.3133038405557,0,0,0,24.2236,1.2422,0,74.5342,128286
MS_106,2279580,2186677,92903,76228,16675,0,60.0324905949662,55.869351226895,48.1859667131665,49.1186727623696,39.5711763882759,92.5688964497537,32.3495,0.2372,18.7077,0.2233,5.8335,9.6016,33.0472,2281491
MS_107,6456949,6066709,390240,336514,53726,0,66.0704086022968,60.4875925796567,54.2180240234203,54.73477316944,46.1845864083641,94.8562118081049,25.0588,0.309,19.2269,2.8651,3.8868,4.4029,44.2506,6470644
MS_108,625971,608236,17735,13012,4723,0,57.3346781719766,55.7723760889923,48.4683763305329,48.8484700017756,35.3441781787426,92.3081156264656,25.8329,0.7623,13.6364,1.1293,3.3032,4.6584,50.6776,626841
MS_109,1032905,987090,45815,38186,7629,0,52.1874649954101,50.2508538943483,43.1161462089931,43.3251709570556,38.6125941285605,92.7120533842173,26.5509,0.2778,15.4167,2.4306,15.4167,4.375,35.5324,1033793
MS_113,2934017,2703712,230305,216774,13531,0,61.0180184658293,58.5209966331984,50.9216807537243,50.7322958214484,53.5937908425783,91.0819198432964,26.2532,0.1425,11.5311,4.6223,1.8836,2.4227,53.1446,2937209
MS_114,1116554,1083286,33268,29549,3719,0,59.6714769150123,59.2443780297006,52.211212355157,52.3144783556697,48.8485932427558,93.4880241300444,13.9454,0.2599,12.9277,3.573,3.0316,4.7423,61.5201,1117891
MS_117,19132497,17667027,1465470,1160189,305277,4,55.9615093904148,49.8269442099731,41.7788535390859,42.0856129330645,38.0806526233904,91.1425971285572,20.6482,0.3581,20.1653,8.0447,9.0359,8.657,33.0907,19150645
MS_118,2003467,1871460,132007,79162,52844,1,53.755585100282,46.6817023946189,39.0062990805439,39.7749238562406,28.1095093442014,92.7141971547495,10.6928,0.6172,46.68,1.795,1.7641,29.0902,9.3607,2005246
MS_121,2532121,2445289,86832,74828,12004,0,61.6572626010388,58.3370719863797,51.4813794443472,51.8881931747127,40.0250138197899,97.0960022169737,61.6003,0.6938,11.5734,3.6437,7.0031,3.8585,11.6271,2542092
MS_122,5632456,5435862,196594,103092,93501,1,58.1629457001376,50.0500193319996,42.3846226228842,43.1390833689303,21.5236375474328,94.2991953099618,53.7606,0.1597,5.7541,1.3299,12.7804,2.377,23.8383,5638320
MS_133,8983895,8926792,57103,38876,18227,0,73.3684708314951,72.5954985578208,67.3543945026072,67.5164848693685,42.0150955291316,93.3214527298773,30.0044,16.4746,4.7961,0.6308,4.0939,0.2847,43.7156,9028351
MS_134,12401593,12200469,201124,185570,15554,0,72.3147211249632,71.4609649115045,65.7068279050925,65.9934786933191,48.7032924961715,94.7556690098235,38.0853,12.3598,2.9465,1.3237,3.0906,0.3495,41.8445,12431482
MS_135,9043624,8354774,688850,682910,5940,0,75.8365879488374,76.1699955744449,70.8328840296766,71.7744872572256,60.0105233359948,93.3962473901946,16.3718,15.6697,3.617,2.258,5.5363,1.205,55.3423,9067789
MS_136,6075605,5880153,195452,171006,24446,0,65.7738194935806,63.9870651182335,58.0793991709468,58.69262993667,39.6304156519248,95.3029854382348,28.0358,5.0176,38.5695,0.7773,4.6019,3.5276,19.4704,6097002
MS_137,6620146,6529224,90922,84285,6637,0,69.8505865212306,68.6466060301186,62.120092517597,62.3449132699384,46.5314995270672,93.0509139343986,21.308,21.9916,6.1802,2.0467,3.3598,1.4159,43.6978,6631644
MS_C02,227326,185625,41701,NA,41701,0,69.9358366225287,70.2047338158459,64.7048071931939,62.7436767676768,73.4342581712669,90.239589749894,27.0372,0.562,20.793,2.6538,17.7646,10.8024,20.3871,228526
MS_C03,73566,64739,8827,NA,8827,0,69.7029761744152,69.9062221742533,64.28760568741,63.8666646071147,67.9305539821004,90.7031650522112,3.4965,0,2.0979,0,1.3986,20.0466,72.9604,74122
MV_002,316857,306363,10494,5664,4830,0,64.092120286902,45.8104572895705,38.212452304983,38.7011649579094,23.4455879550219,94.1390728858924,54.9234,0.1094,21.7177,0.1094,4.1028,7.221,11.8162,317042
MV_005,22888,21324,1564,1405,159,0,61.8906487307442,60.170318941202,53.2908947920308,53.8929375351716,52.8497442455243,96.2160989368627,0,0,0,0,0,0,100,23045
MV_006,896831,846323,50508,41015,9493,0,51.4402016521867,48.2446172701107,40.2383726699902,40.3565163655011,38.3372931020828,94.3852755111917,54.5231,0.6058,11.9314,0.3594,0.5545,8.1425,23.8834,899172
MV_007,450379,370567,79812,70879,8933,0,64.6301832208293,45.512601318773,37.5948434540687,37.6914673999574,37.1462060842981,90.6754168508378,2.7344,0.3906,37.2396,0,0.9115,0,58.724,460428
MV_008,9777479,1596089,8181390,8163166,18224,0,75.6389324412151,75.4950302802578,69.6262000664998,97.9341684580246,64.7607177997871,70.3098284488255,22.3961,1.6761,26.7231,0.5131,4.7118,11.0698,32.91,9815141
MV_010,3588763,2430153,1158610,1135564,23046,0,65.1460339948452,58.9758744201262,51.9338081115972,50.2400400304014,55.4864406487084,93.3580792666641,33.8107,0.3929,26.7638,0.4858,5.2852,4.9514,28.3101,3604017
MV_013,6054521,5584976,469545,354046,115498,1,61.8543934929241,46.946967126658,39.4871166521679,40.0129977281908,33.2320544356771,96.2751140161851,31.7077,0.4676,29.7295,0.3776,3.3197,6.0459,28.352,6065766
MV_015,2043317,1815733,227584,220854,6730,0,65.8388981497486,61.767095075013,55.1711858708169,54.1320034388316,63.4620931172666,95.7187059851932,35.2255,0.6539,13.7091,0.186,1.5953,4.2954,44.3348,2048046
MV_016,8709354,8054930,654424,609917,44507,0,67.804717174578,61.1869059246014,54.1064382042572,53.5816820257904,60.899089886679,93.7805113811444,34.0859,0.4231,9.4951,3.0055,6.7892,3.6087,42.5925,8724587
MV_017,192640,169231,23409,19494,3915,0,58.7014200551004,44.2415027576152,37.0263963870432,37.2428928506007,35.4612755777692,92.9649637101196,40.8054,1.0738,15.9732,4.519,26.5324,8.2327,2.8635,192739
MV_018,1374779,1336157,38622,34300,4322,0,60.618683772771,59.9045034334056,52.8919455417925,52.9219859642243,51.8526746413961,94.2877416420142,32.0764,0.4253,14.6829,1.6187,4.9832,4.2278,41.9857,1376039
MV_019,915046,878776,36270,33858,2412,0,61.1599738401102,60.5860994468865,53.1531879271643,53.0171306453522,56.4496829335539,95.6332573005585,29.4214,0.638,17.4629,0.3561,2.003,7.4184,42.7003,915906
MV_020,128494,124553,3941,3442,499,0,55.6173081256654,55.2588137476591,47.6611826233132,48.147342898204,49.5866531337224,95.080663866462,55.6985,0.4412,11.25,2.3162,16.7647,9.1544,4.375,128691
MV_021,1876005,1725995,150010,145706,4304,0,65.1920739871935,64.8634605975389,57.9246217360828,57.5272900558808,62.49624025065,92.8037198806753,27.3788,0.4695,32.3307,0.6419,2.4576,5.183,31.5384,1878271
MV_022,2272916,2123449,149467,140969,8498,0,59.6616148714393,52.7338769849976,45.6725774291703,45.517699271327,47.8729017107455,94.1382995446808,26.6185,0.2459,34.8289,0.3124,4.2665,3.2627,30.4651,2274373
MV_024,12502552,2712011,9790541,9779984,10557,0,87.5929959774603,90.5064773586504,88.2141698750783,103.919374220827,83.8637783141912,73.3421940950077,8.7484,1.0529,43.5879,0.3665,4.3759,17.2266,24.6418,12582598
MV_025,608020,573488,34532,33099,1433,0,54.3903551222494,50.9291612371026,43.8652643005164,43.8167215355857,44.1673230626665,95.4088754226896,37.7195,0.2265,35.0198,0.3587,0.472,4.814,21.3895,608551
MV_027,372454,361547,10907,6859,4048,0,59.3840839269664,45.4820166083095,38.3325135452969,38.6578480806092,27.5480883836069,94.8532629333555,50.8327,0.9516,16.6534,0.6344,0.0793,11.1816,19.6669,372705
MV_028,34992,29424,5568,5082,486,0,57.1551748750892,47.7000713775874,40.5657864654778,40.4898042414356,40.9673132183908,99.231977159172,NA,NA,NA,NA,NA,NA,NA,35025
